name,discovery_method,discovery_year,orbital_period,distance,planet_radius
11 Com b,Radial Velocity,2007,323.21,93.1846,
11 UMi b,Radial Velocity,2009,516.22,125.321,
14 And b,Radial Velocity,2008,186.76,75.4392,
14 Her b,Radial Velocity,2002,1765.0389,17.9323,
16 Cyg B b,Radial Velocity,1996,798.5,21.1397,
17 Sco b,Radial Velocity,2020,578.38,124.953,
18 Del b,Radial Velocity,2008,982.85,76.222,
1RXS J160929.1-210524 b,Imaging,2008,,139.135,
24 Boo b,Radial Velocity,2018,30.33,95.9863,
24 Sex b,Radial Velocity,2010,452.8,72.0691,
24 Sex c,Radial Velocity,2010,883.0,72.0691,
2M0437 b,Imaging,2021,,128.484,
2MASS J01033563-5515561 AB b,Imaging,2013,,,
2MASS J01225093-2439505 b,Imaging,2013,,33.8281,
2MASS J02192210-3925225 b,Imaging,2015,,,16.141
2MASS J0249-0557 c,Imaging,2018,,66.0613,
2MASS J03590986+2009361 b,Imaging,2024,,117.435,
2MASS J04414489+2301513 b,Imaging,2010,,,
2MASS J11011926-7732383 b,Imaging,2024,,,
2MASS J11550485-7919108 b,Imaging,2024,,100.862,
2MASS J12073346-3932539 b,Imaging,2004,,64.308,
2MASS J19383260+4603591 b,Eclipse Timing Variations,2015,406.0,396.332,
2MASS J21252752-8138278 b,Imaging,2024,,34.1154,
2MASS J22362452+4751425 b,Imaging,2016,,69.5737,
2MASS J22501512+2325342 b,Imaging,2018,,57.2309,
4 UMa b,Radial Velocity,2006,270.27,73.4603,
47 UMa b,Radial Velocity,1996,1078.0,13.7967,
47 UMa c,Radial Velocity,2001,2391.0,13.7967,
47 UMa d,Radial Velocity,2009,14002.0,13.7967,
51 Eri b,Imaging,2015,9100.0,29.7575,
51 Peg b,Radial Velocity,1995,4.2308,15.4614,
55 Cnc B b,Radial Velocity,2025,6.7994,12.4773,
55 Cnc B c,Radial Velocity,2025,33.747,12.4773,
55 Cnc b,Radial Velocity,1996,14.6516,12.5855,
55 Cnc c,Radial Velocity,2004,44.3936,12.5855,
55 Cnc d,Radial Velocity,2002,4799.0,12.5855,
55 Cnc e,Radial Velocity,2004,0.7365,12.5855,1.875
55 Cnc f,Radial Velocity,2007,260.58,12.5855,
6 Lyn b,Radial Velocity,2008,919.86,54.6599,
61 Vir b,Radial Velocity,2009,4.215,8.5033,
61 Vir c,Radial Velocity,2009,38.021,8.5033,
61 Vir d,Radial Velocity,2009,123.01,8.5033,
7 CMa b,Radial Velocity,2011,735.1,19.8101,
7 CMa c,Radial Velocity,2019,996.0,19.8101,
70 Vir b,Radial Velocity,1996,116.688,17.9011,
75 Cet b,Radial Velocity,2012,696.62,82.9613,
75 Cet c,Radial Velocity,2023,2051.62,82.9613,
8 UMi b,Radial Velocity,2015,93.31,162.552,
81 Cet b,Radial Velocity,2008,1005.57,101.26,
91 Aqr b,Radial Velocity,2013,181.4,44.0304,
AB Aur b,Imaging,2022,,162.127,
AB Pic b,Imaging,2005,,50.0475,
AF Lep b,Imaging,2023,8905.0,26.8564,
AT2021ueyL b,Microlensing,2025,4168.69,1040.0,
AU Mic b,Transit,2020,8.4634,9.7221,4.79
AU Mic c,Transit,2021,18.859,9.7221,2.79
AU Mic d,Transit Timing Variations,2023,12.736,9.7221,
AU Mic e,Radial Velocity,2025,33.11,9.7221,
BD+03 2562 b,Radial Velocity,2017,481.9,1070.63,
BD+05 4868 A b,Transit,2025,1.2719,43.5687,
BD+14 4559 b,Radial Velocity,2009,268.94,49.352,
BD+15 2375 b,Radial Velocity,2016,153.22,768.045,
BD+15 2940 b,Radial Velocity,2013,137.48,426.42,
BD+20 2457 b,Radial Velocity,2009,379.63,1539.71,
BD+20 2457 c,Radial Velocity,2009,621.99,1539.71,
BD+20 274 b,Radial Velocity,2012,578.2,1322.51,
BD+20 594 b,Transit,2016,41.6855,179.461,2.5781
BD+37 3172 b,Radial Velocity,2023,1887.76,454.251,
BD+42 2315 b,Radial Velocity,2023,123.05,610.715,
BD+45 564 b,Radial Velocity,2021,307.88,53.622,
BD+48 738 b,Radial Velocity,2011,392.6,871.493,
BD+48 740 b,Radial Velocity,2018,733.0,666.589,
BD+49 828 b,Radial Velocity,2015,2590.0,442.042,
BD+55 362 b,Radial Velocity,2021,265.59,52.5697,
BD+60 1417 b,Imaging,2021,,44.9543,14.6838
BD+63 1405 b,Radial Velocity,2021,1198.48,38.0473,
BD-06 1339 b,Radial Velocity,2013,3.8728,20.2695,
BD-06 1339 c,Radial Velocity,2013,125.94,20.2695,
BD-08 2823 b,Radial Velocity,2009,5.6,41.3342,
BD-08 2823 c,Radial Velocity,2009,237.6,41.3342,
BD-10 3166 b,Radial Velocity,2000,3.4878,84.4069,
BD-11 4672 b,Radial Velocity,2014,1634.0,27.1665,
BD-11 4672 c,Radial Velocity,2020,74.2,27.1665,
BD-13 2130 b,Radial Velocity,2007,714.3,925.214,
BD-14 3065 b,Transit,2024,4.289,589.423,21.59
BD-17 63 b,Radial Velocity,2008,655.57,34.4603,
BD-210397 b,Radial Velocity,2023,1891.0,23.7324,
BD-210397 c,Radial Velocity,2023,6240.0,23.7324,
BEBOP-3 b,Radial Velocity,2025,547.0,119.052,
BEBOP-4 AB b,Radial Velocity,2025,1823.5,234.294,
Barnard b,Radial Velocity,2024,3.1542,1.8266,
Barnard c,Radial Velocity,2025,4.1244,1.8266,
Barnard d,Radial Velocity,2025,2.3402,1.8266,
Barnard e,Radial Velocity,2025,6.7392,1.8266,
CD Cet b,Radial Velocity,2020,2.2907,8.6072,
CD-35 2722 b,Imaging,2011,,22.3896,17.3739
CFBDSIR J145829+101343 b,Imaging,2011,10037.5,,
CFHTWIR-Oph 98 b,Imaging,2021,8040000.0,,20.8487
CHXR 73 b,Imaging,2006,,190.374,
CI Tau c,Radial Velocity,2024,25.2,157.998,
COCONUTS-2 b,Imaging,2021,,10.8864,12.442
CT Cha b,Imaging,2007,,190.72,24.66
CoRoT-1 b,Transit,2008,1.509,787.909,16.7
CoRoT-10 b,Transit,2010,13.2406,338.386,10.87
CoRoT-11 b,Transit,2010,2.9943,655.037,16.03
CoRoT-12 b,Transit,2010,2.828,1126.37,16.14
CoRoT-13 b,Transit,2010,4.0352,1148.93,9.92
CoRoT-14 b,Transit,2010,1.5121,1744.6,12.22
CoRoT-16 b,Transit,2011,5.3523,732.409,13.11
CoRoT-17 b,Transit,2011,3.7681,1176.12,11.43
CoRoT-18 b,Transit,2011,1.9001,764.889,14.68
CoRoT-19 b,Transit,2011,3.8971,790.663,14.46
CoRoT-2 b,Transit,2008,1.743,213.283,16.432
CoRoT-20 b,Transit,2011,9.2428,844.061,
CoRoT-20 c,Radial Velocity,2018,1675.0,844.061,
CoRoT-21 b,Transit,2012,2.7247,,14.5717
CoRoT-22 b,Transit,2014,9.756,627.158,4.88
CoRoT-23 b,Transit,2011,3.6313,1060.97,11.77
CoRoT-24 b,Transit,2014,5.1134,591.555,3.7
CoRoT-24 c,Transit,2014,11.759,591.555,5.0
CoRoT-25 b,Transit,2013,4.8607,1103.48,12.11
CoRoT-26 b,Transit,2013,4.2047,1045.18,14.12
CoRoT-27 b,Transit,2014,3.5753,1010.28,11.287
CoRoT-28 b,Transit,2015,5.2085,766.183,10.7046
CoRoT-29 b,Transit,2015,2.8506,806.507,10.0881
CoRoT-3 b,Transit,2008,4.2568,768.771,11.32
CoRoT-30 b,Transit,2020,9.06,1032.23,11.3099
CoRoT-31 b,Transit,2020,4.6294,2005.76,16.3651
CoRoT-32 b,Transit,2018,6.7184,576.683,6.3891
CoRoT-35 b,Transit,2022,3.2275,1123.21,18.8311
CoRoT-36 b,Transit,2022,5.6165,925.958,15.8047
CoRoT-4 b,Transit,2008,9.202,726.412,13.34
CoRoT-5 b,Transit,2009,4.0379,882.472,15.558
CoRoT-6 b,Transit,2009,8.8866,645.294,13.068
CoRoT-7 b,Transit,2009,0.8536,159.906,1.6814
CoRoT-7 c,Radial Velocity,2009,3.698,159.906,
CoRoT-7 d,Radial Velocity,2022,8.966,159.906,
CoRoT-8 b,Transit,2010,6.2123,322.037,6.39
CoRoT-9 b,Transit,2009,95.2727,412.98,11.9488
DE CVn b,Eclipse Timing Variations,2018,4098.1,30.5225,
DENIS-P J082303.1-491201 b,Astrometry,2013,246.36,,
DH Tau b,Imaging,2004,,134.846,
DMPP-1 b,Radial Velocity,2019,17.812,62.5388,
DMPP-1 c,Radial Velocity,2019,10.03,62.5388,
DMPP-1 d,Radial Velocity,2019,3.1417,62.5388,
DMPP-1 e,Radial Velocity,2019,5.516,62.5388,
DMPP-2 b,Radial Velocity,2019,5.203,137.94,
DMPP-2 c,Radial Velocity,2026,3.168,137.94,
DMPP-2 d,Radial Velocity,2026,16.491,137.94,
DMPP-3 A b,Radial Velocity,2019,5.59,46.8917,
DMPP-4 b,Radial Velocity,2023,3.4982,25.3284,
DMPP-6 b,Radial Velocity,2026,7.6027,54.6303,
DMPP-6 c,Radial Velocity,2026,36.441,54.6303,
DMPP-7 b,Radial Velocity,2026,4.984,101.386,
DMPP-8 b,Radial Velocity,2026,62.915,76.1335,
DMPP-9 b,Radial Velocity,2026,12.733,109.539,
DP Leo b,Eclipse Timing Variations,2009,10220.0,305.684,
DS Tuc A b,Transit,2019,8.1383,44.0622,5.7
EPIC 201170410.02,Transit,2020,6.7987,,1.047
EPIC 201238110 b,Transit,2019,28.1656,159.259,1.87
EPIC 201427007 b,Transit,2021,0.7209,706.391,1.5
EPIC 201497682 b,Transit,2019,2.1317,253.026,0.692
EPIC 201595106 b,Transit,2021,0.8772,232.1,1.565
EPIC 201615463 c,Transit,2019,3.8046,476.882,1.22
EPIC 201754305 d,Transit,2019,2.7158,334.967,1.03
EPIC 201757695.02,Transit,2020,2.0478,,0.9082
EPIC 201833600 c,Transit,2019,3.9615,257.443,1.0
EPIC 201841433 b,Transit,2019,4.1698,436.488,1.04
EPIC 205950854 c,Transit,2019,8.0507,243.935,1.31
EPIC 206024342 b,Transit,2019,4.5076,369.888,1.7
EPIC 206024342 c,Transit,2021,0.9117,369.888,1.4
EPIC 206024342 d,Transit,2021,14.6475,369.888,2.6
EPIC 206032309 b,Transit,2019,2.8781,161.365,1.01
EPIC 206042996 b,Transit,2019,5.2986,451.769,1.7
EPIC 206042996 c,Transit,2021,0.3549,451.769,1.2
EPIC 206215704 b,Transit,2019,2.2554,109.888,1.0
EPIC 206317286 b,Transit,2019,1.5825,314.35,0.96
EPIC 206317286 c,Transit,2022,17.5155,314.35,2.094
EPIC 211822797 b,Transit,2016,21.1702,186.197,1.92
EPIC 211945201 b,Transit,2018,19.4922,181.69,5.76
EPIC 212297394 b,Transit,2019,2.2894,418.395,1.48
EPIC 212297394 c,Transit,2021,5.214,418.395,2.27
EPIC 212424622 b,Transit,2019,18.0983,611.804,2.17
EPIC 212499991 b,Transit,2019,34.885,283.29,1.6
EPIC 212587672 b,Transit,2019,15.2808,320.07,1.26
EPIC 212587672 c,Transit,2021,23.2286,320.07,2.32
EPIC 212624936 b,Transit,2021,0.5787,561.929,1.2
EPIC 212624936 c,Transit,2021,11.8114,561.929,2.3
EPIC 212737443 b,Transit,2019,13.603,336.25,2.586
EPIC 212737443 c,Transit,2019,65.55,336.25,2.69
EPIC 220492298 b,Transit,2021,0.7624,624.512,0.99
EPIC 220554210 c,Transit,2019,0.7053,496.289,1.6
EPIC 220674823 b,Transit,2016,0.5713,244.59,1.676
EPIC 220674823 c,Transit,2016,13.3399,244.59,2.84
EPIC 228836835 b,Transit,2021,0.7281,150.124,1.1
EPIC 229004835 b,Transit,2023,16.1411,121.971,2.332
EPIC 246851721 b,Transit,2018,6.1802,372.632,11.7807
EPIC 248847494 b,Transit,2018,3650.0,551.886,12.442
EPIC 249893012 b,Transit,2020,3.5951,321.296,1.95
EPIC 249893012 c,Transit,2020,15.624,321.296,3.67
EPIC 249893012 d,Transit,2020,35.747,321.296,3.94
FU Tau b,Imaging,2008,,,
G 192-15 b,Radial Velocity,2025,2.2748,9.5311,
G 192-15 c,Radial Velocity,2025,1219.0,9.5311,
G 196-3 b,Imaging,2024,,21.7912,
G 261-6 b,Radial Velocity,2025,5.4536,10.6267,
G 264-012 b,Radial Velocity,2021,2.3054,16.009,
G 264-012 c,Radial Velocity,2021,8.0518,16.009,
G 268-110 b,Radial Velocity,2025,1.4326,,
G 9-40 b,Transit,2019,5.746,27.9276,1.9
GJ 1002 b,Radial Velocity,2022,10.3465,4.8487,
GJ 1002 c,Radial Velocity,2022,21.202,4.8487,
GJ 1061 b,Radial Velocity,2020,3.204,3.6728,
GJ 1061 c,Radial Velocity,2020,6.689,3.6728,
GJ 1061 d,Radial Velocity,2020,13.031,3.6728,
GJ 1132 b,Transit,2015,1.6289,12.613,1.1915
GJ 1132 c,Radial Velocity,2018,8.929,12.613,
GJ 1148 b,Radial Velocity,2010,41.38,11.0143,
GJ 1148 c,Radial Velocity,2017,532.58,11.0143,
GJ 1151 c,Radial Velocity,2023,389.7,8.0363,
GJ 1214 b,Transit,2009,1.5804,14.6427,2.733
GJ 1252 b,Transit,2020,0.5182,20.373,1.193
GJ 1265 b,Radial Velocity,2018,3.6511,10.2525,
GJ 1289 b,Radial Velocity,2024,111.74,8.3515,
GJ 143 b,Transit,2019,35.6125,16.32,2.61
GJ 15 A b,Radial Velocity,2014,11.4407,3.5623,
GJ 15 A c,Radial Velocity,2018,7600.0,3.5623,
GJ 160.2 b,Radial Velocity,2014,5.2354,25.8557,
GJ 163 b,Radial Velocity,2013,8.6318,15.1285,
GJ 163 c,Radial Velocity,2013,25.6306,15.1285,
GJ 163 d,Radial Velocity,2013,603.9512,15.1285,
GJ 179 b,Radial Velocity,2009,2288.0,12.356,
GJ 180 b,Radial Velocity,2014,17.133,11.9407,
GJ 180 c,Radial Velocity,2014,24.329,11.9407,
GJ 180 d,Radial Velocity,2020,106.3,11.9407,
GJ 2030 b,Radial Velocity,2022,2.3813,37.0788,
GJ 2030 c,Radial Velocity,2022,25533.1135,37.0788,
GJ 2056 b,Radial Velocity,2020,69.971,28.4434,
GJ 2126 b,Radial Velocity,2025,272.7,38.129,
GJ 229 A c,Radial Velocity,2020,121.9327,5.7562,
GJ 229 b,Radial Velocity,2014,579.475,5.7562,
GJ 238 b,Transit,2024,1.7447,15.2142,0.566
GJ 251 b,Radial Velocity,2020,14.237,5.5806,
GJ 251 c,Radial Velocity,2025,53.647,5.5806,
GJ 27.1 b,Radial Velocity,2014,15.819,23.6062,
GJ 273 b,Radial Velocity,2017,18.6498,5.9215,
GJ 273 c,Radial Velocity,2017,4.7234,5.9215,
GJ 3021 b,Radial Velocity,2000,133.71,17.5559,
GJ 3082 b,Radial Velocity,2020,11.949,16.6186,
GJ 3090 b,Transit,2022,2.8531,22.4751,2.18
GJ 3090 c,Radial Velocity,2026,15.9407,22.4751,
GJ 3138 b,Radial Velocity,2017,1.22,28.4712,
GJ 3138 c,Radial Velocity,2017,5.974,28.4712,
GJ 3138 d,Radial Velocity,2017,257.8,28.4712,
GJ 317 b,Radial Velocity,2007,695.69,15.1968,
GJ 317 c,Radial Velocity,2018,6500.0,15.1968,
GJ 3222 b,Radial Velocity,2022,10.6667,18.2382,
GJ 328 b,Radial Velocity,2013,3771.0,20.5266,
GJ 328 c,Radial Velocity,2023,241.8,20.5266,
GJ 3293 b,Radial Velocity,2015,30.5987,20.1903,
GJ 3293 c,Radial Velocity,2015,122.6196,20.1903,
GJ 3293 d,Radial Velocity,2017,48.1345,20.1903,
GJ 3293 e,Radial Velocity,2017,13.2543,20.1903,
GJ 3323 b,Radial Velocity,2017,5.3636,5.3748,
GJ 3323 c,Radial Velocity,2017,40.54,5.3748,
GJ 3341 b,Radial Velocity,2015,14.207,23.619,
GJ 338 B b,Radial Velocity,2020,24.422,6.3326,
GJ 341 b,Transit,2025,7.5769,10.454,0.88
GJ 3470 b,Radial Velocity,2012,3.3366,29.4214,4.57
GJ 3473 b,Transit,2020,1.198,27.3644,1.264
GJ 3473 c,Radial Velocity,2020,15.509,27.3644,
GJ 3512 b,Radial Velocity,2019,203.109,9.4864,
GJ 3512 c,Radial Velocity,2020,2354.0,9.4864,
GJ 357 b,Transit,2019,3.9306,9.4418,1.2
GJ 357 c,Radial Velocity,2019,9.1247,9.4418,
GJ 357 d,Radial Velocity,2019,55.661,9.4418,
GJ 3634 b,Radial Velocity,2010,2.6456,20.3779,
GJ 367 b,Transit,2021,0.3219,9.4126,0.699
GJ 367 c,Radial Velocity,2023,11.5301,9.4126,
GJ 367 d,Radial Velocity,2023,34.369,9.4126,
GJ 3779 b,Radial Velocity,2018,3.0232,13.743,
GJ 3929 b,Transit,2022,2.6162,15.8095,1.09
GJ 3929 c,Radial Velocity,2022,15.04,15.8095,
GJ 393 b,Radial Velocity,2021,7.0268,7.0315,
GJ 3942 b,Radial Velocity,2017,6.905,16.9287,
GJ 3988 b,Radial Velocity,2023,6.9442,9.9105,
GJ 3998 b,Radial Velocity,2016,2.6503,18.1459,
GJ 3998 c,Radial Velocity,2016,13.727,18.1459,
GJ 3998 d,Radial Velocity,2025,41.78,18.1459,
GJ 411 b,Radial Velocity,2019,12.9394,5.6758,
GJ 414 A b,Radial Velocity,2021,50.8,11.8893,2.63
GJ 414 A c,Radial Velocity,2021,749.83,11.8893,8.4
GJ 422 b,Radial Velocity,2014,20.129,12.6631,
GJ 4274 b,Radial Velocity,2026,1.6339,7.2356,
GJ 4274 c,Radial Velocity,2026,69.57,7.2356,
GJ 4276 b,Radial Velocity,2019,13.352,21.3362,
GJ 433 b,Radial Velocity,2011,7.3705,9.0646,
GJ 433 c,Radial Velocity,2014,5094.105,9.0646,
GJ 433 d,Radial Velocity,2020,36.059,9.0646,
GJ 436 b,Radial Velocity,2004,2.6439,9.7532,4.17
GJ 463 b,Radial Velocity,2022,3459.0,18.3554,
GJ 480 b,Radial Velocity,2020,9.5536,14.2358,
GJ 486 b,Radial Velocity,2021,1.4671,8.0743,1.289
GJ 504 b,Imaging,2013,,17.5299,
GJ 508.2 b,Radial Velocity,2025,5300.0,16.6374,
GJ 514 b,Radial Velocity,2022,140.43,7.6178,
GJ 536 b,Radial Velocity,2016,8.7087,10.4092,
GJ 536 c,Radial Velocity,2025,32.761,10.4092,
GJ 581 b,Radial Velocity,2005,5.3686,6.2981,
GJ 581 c,Radial Velocity,2007,12.9211,6.2981,
GJ 581 e,Radial Velocity,2009,3.1481,6.2981,
GJ 625 b,Radial Velocity,2017,14.628,6.4725,
GJ 649 b,Radial Velocity,2009,600.1,10.3796,
GJ 667 C b,Radial Velocity,2012,7.203,7.244,
GJ 667 C c,Radial Velocity,2013,28.14,7.244,
GJ 667 C e,Radial Velocity,2013,62.24,7.244,
GJ 667 C f,Radial Velocity,2013,39.026,7.244,
GJ 667 C g,Radial Velocity,2013,256.2,7.244,
GJ 674 b,Radial Velocity,2007,4.6938,4.549,
GJ 676 A b,Radial Velocity,2010,1051.4452,16.0272,
GJ 676 A c,Radial Velocity,2016,13921.423,16.0272,
GJ 676 A d,Radial Velocity,2012,3.6008,16.0272,
GJ 676 A e,Radial Velocity,2012,35.4736,16.0272,
GJ 680 b,Radial Velocity,2022,17281.6651,9.6732,
GJ 682 b,Radial Velocity,2014,17.478,5.0067,
GJ 682 c,Radial Velocity,2014,57.32,5.0067,
GJ 685 b,Radial Velocity,2019,24.16,14.3155,
GJ 687 b,Radial Velocity,2014,38.142,4.5494,
GJ 687 c,Radial Velocity,2020,727.562,4.5494,
GJ 720 A b,Radial Velocity,2021,19.466,15.5575,
GJ 724 b,Radial Velocity,2023,5.1013,16.9658,
GJ 740 b,Radial Velocity,2021,2.3776,11.1017,
GJ 806 b,Transit,2023,0.9263,12.0445,1.331
GJ 806 c,Radial Velocity,2023,6.6406,12.0445,
GJ 832 b,Radial Velocity,2008,3853.0,4.9643,
GJ 849 b,Radial Velocity,2006,1925.31,8.8006,
GJ 849 c,Radial Velocity,2014,5990.0,8.8006,
GJ 86 b,Radial Velocity,1999,15.7649,10.7836,
GJ 876 b,Radial Velocity,1998,61.1166,4.6752,
GJ 876 c,Radial Velocity,2000,30.0881,4.6752,
GJ 876 d,Radial Velocity,2005,1.9378,4.6752,
GJ 876 e,Radial Velocity,2010,124.26,4.6752,
GJ 887 b,Radial Velocity,2020,9.2619,3.2868,
GJ 887 c,Radial Velocity,2020,21.784,3.2868,
GJ 887 d,Radial Velocity,2026,50.77,3.2868,
GJ 887 e,Radial Velocity,2026,4.4249,3.2868,
GJ 896 A b,Astrometry,2022,284.39,6.2602,
GJ 900 b,Imaging,2024,,20.8065,
GJ 9066 c,Radial Velocity,2020,771.36,4.471,
GJ 9404 b,Radial Velocity,2023,13.4586,23.8839,
GJ 96 b,Radial Velocity,2018,73.94,11.9315,
GJ 9689 b,Radial Velocity,2020,18.27,30.6203,
GJ 9714 b,Radial Velocity,2022,19240.7547,20.5121,
GJ 9773 b,Radial Velocity,2025,2965.0,15.9211,
GJ 9827 b,Transit,2017,1.209,29.661,1.44
GJ 9827 c,Transit,2017,3.6481,29.661,1.13
GJ 9827 d,Transit,2017,6.2018,29.661,1.98
GPX-1 b,Transit,2021,1.7446,655.013,16.4772
GQ Lup b,Imaging,2004,,151.169,33.6
GSC 06214-00210 b,Imaging,2010,,108.5,
GU Psc b,Imaging,2014,,47.5501,14.179
Gaia-1 b,Transit,2022,3.0525,363.66,13.7758
Gaia-2 b,Transit,2022,3.6915,209.229,14.8183
Gaia-4 b,Astrometry,2025,571.3,73.4829,
Gaia-5 b,Astrometry,2025,358.62,41.1813,
Gaia22dkvL b,Microlensing,2024,,1270.0,
Gl 378 b,Radial Velocity,2019,3.822,14.9545,
Gl 410 b,Radial Velocity,2025,6.02,11.9324,
Gl 49 b,Radial Velocity,2019,13.8508,9.8528,
Gl 686 b,Radial Velocity,2018,15.53,8.1573,
Gl 725 A b,Radial Velocity,2025,11.2201,3.5214,
Gliese 12 b,Transit,2024,12.7614,12.21,0.93
HAT-P-1 b,Transit,2006,4.4653,158.979,14.7847
HAT-P-11 b,Transit,2008,4.888,37.7647,
HAT-P-11 c,Radial Velocity,2018,3361.0,37.7647,
HAT-P-12 b,Transit,2009,3.2131,142.751,10.749
HAT-P-13 b,Transit,2009,2.9162,246.81,14.258
HAT-P-13 c,Radial Velocity,2009,446.27,246.81,
HAT-P-14 b,Transit,2010,4.6277,222.663,15.9168
HAT-P-15 b,Transit,2010,10.8635,192.516,11.8815
HAT-P-16 b,Transit,2010,,226.637,14.6838
HAT-P-17 b,Transit,2010,10.3385,92.3831,11.7695
HAT-P-17 c,Radial Velocity,2010,5584.0,92.3831,
HAT-P-18 b,Transit,2010,5.508,161.4,11.153
HAT-P-19 b,Transit,2010,4.0088,202.078,11.2987
HAT-P-2 b,Transit,2007,5.6335,127.774,
HAT-P-2 c,Radial Velocity,2023,8500.0,127.774,
HAT-P-20 b,Transit,2010,2.8753,71.0374,9.718
HAT-P-21 b,Transit,2010,4.1245,277.278,12.442
HAT-P-22 b,Transit,2010,3.2122,81.7647,12.8904
HAT-P-23 b,Transit,2010,1.2129,364.813,15.334
HAT-P-24 b,Transit,2010,3.3552,415.344,14.5717
HAT-P-25 b,Transit,2010,3.6528,300.384,12.7222
HAT-P-26 b,Transit,2010,4.2345,141.837,7.0617
HAT-P-27 b,Transit,2011,3.0396,199.173,11.43
HAT-P-28 b,Transit,2011,3.2572,401.319,13.585
HAT-P-29 b,Transit,2011,5.7232,313.576,13.1145
HAT-P-3 b,Transit,2007,2.8997,134.554,10.5365
HAT-P-30 b,Transit,2011,2.8106,213.985,16.141
HAT-P-31 b,Transit,2011,5.0054,344.05,12.2178
HAT-P-32 b,Transit,2011,2.15,289.205,22.1938
HAT-P-33 b,Transit,2011,3.4745,396.11,20.7366
HAT-P-34 b,Transit,2011,5.4527,249.325,13.4172
HAT-P-35 b,Transit,2011,3.6467,506.965,14.9304
HAT-P-36 b,Transit,2011,1.3273,294.419,14.3139
HAT-P-37 b,Transit,2011,2.7974,390.594,13.204
HAT-P-38 b,Transit,2012,4.6404,255.206,9.247
HAT-P-39 b,Transit,2012,3.5439,697.004,17.609
HAT-P-4 b,Transit,2007,3.0565,320.451,14.28
HAT-P-40 b,Transit,2012,4.4572,464.469,17.0377
HAT-P-41 b,Transit,2012,2.694,348.185,22.9784
HAT-P-42 b,Transit,2012,4.6419,405.238,14.348
HAT-P-43 b,Transit,2012,3.3326,528.825,13.63
HAT-P-44 b,Transit,2014,4.3012,347.85,13.922
HAT-P-44 c,Radial Velocity,2014,872.2,347.85,
HAT-P-45 b,Transit,2014,3.129,298.64,15.984
HAT-P-46 b,Transit,2014,4.4631,290.736,14.392
HAT-P-49 b,Transit,2014,2.6916,350.351,17.8223
HAT-P-5 b,Transit,2007,2.7885,303.336,13.5629
HAT-P-50 b,Transit,2015,3.122,515.458,14.4372
HAT-P-51 b,Transit,2015,4.218,440.089,13.5068
HAT-P-52 b,Transit,2015,2.7536,361.155,11.3099
HAT-P-53 b,Transit,2015,1.9616,666.802,14.7735
HAT-P-54 b,Transit,2015,3.7998,143.651,10.5813
HAT-P-55 b,Transit,2015,3.5852,511.388,14.8407
HAT-P-56 b,Transit,2015,2.7908,320.639,16.9256
HAT-P-57 b,Transit,2015,2.4653,279.86,19.5037
HAT-P-58 b,Transit,2021,4.0138,515.59,14.9304
HAT-P-59 b,Transit,2021,4.142,265.471,12.5877
HAT-P-6 b,Transit,2007,3.853,275.358,16.5893
HAT-P-60 b,Transit,2021,4.7948,233.22,18.2818
HAT-P-61 b,Transit,2021,1.9023,338.84,10.0769
HAT-P-62 b,Transit,2021,2.6453,348.815,12.0272
HAT-P-63 b,Transit,2021,3.3777,403.458,12.5428
HAT-P-64 b,Transit,2021,4.0072,651.897,19.0889
HAT-P-65 b,Transit,2016,2.6054,738.519,18.0577
HAT-P-66 b,Transit,2016,2.9721,935.456,17.8223
HAT-P-67 b,Transit,2017,4.8101,371.686,23.9872
HAT-P-68 b,Transit,2020,2.2984,202.152,12.016
HAT-P-69 b,Transit,2019,4.7869,341.263,18.7863
HAT-P-7 b,Transit,2008,2.2047,341.079,16.9256
HAT-P-70 b,Transit,2019,2.7443,330.739,20.9608
HAT-P-8 b,Transit,2008,3.0763,211.553,15.6926
HAT-P-9 b,Transit,2008,3.9228,455.203,15.6141
HATS-1 b,Transit,2012,3.4465,283.971,14.594
HATS-10 b,Transit,2015,3.3128,534.889,10.8615
HATS-11 b,Transit,2016,3.6192,944.603,18.03
HATS-12 b,Transit,2016,3.1427,746.138,7.76
HATS-13 b,Transit,2015,3.044,421.855,13.5853
HATS-14 b,Transit,2015,2.7668,513.011,11.6462
HATS-15 b,Transit,2016,1.7475,1139.55,12.3859
HATS-16 b,Transit,2016,2.6865,757.044,14.5717
HATS-17 b,Transit,2016,16.2546,400.331,8.7094
HATS-18 b,Transit,2016,0.8378,624.368,14.8968
HATS-2 b,Transit,2013,1.3541,341.925,12.5765
HATS-22 b,Transit,2017,4.7228,229.518,10.6822
HATS-23 b,Transit,2017,2.1605,639.004,20.8487
HATS-24 b,Transit,2017,1.3485,494.182,15.6366
HATS-25 b,Transit,2016,4.2986,471.158,14.1233
HATS-26 b,Transit,2016,3.3024,861.843,19.6157
HATS-27 b,Transit,2016,4.637,816.988,16.8135
HATS-28 b,Transit,2016,3.1811,535.383,13.3835
HATS-29 b,Transit,2016,4.6059,353.891,14.0225
HATS-3 b,Transit,2013,3.5479,411.211,15.48
HATS-30 b,Transit,2016,3.1744,342.14,13.1706
HATS-31 b,Transit,2016,3.378,773.974,18.3828
HATS-32 b,Transit,2016,2.8127,745.116,14.0
HATS-33 b,Transit,2016,2.5496,248.46,13.7871
HATS-34 b,Transit,2016,2.1062,508.842,16.0289
HATS-35 b,Transit,2016,1.821,514.555,16.41
